A,Atlantic Ocean
B,Kincasslagh area
C,Londonderry area
D,Cushendun area
F,Eris Head
G,Sligo area
H,Lough Erne area
J,Belfast area
L,Clifden area
M,Galway area
N,Westmeath
O,Dublin area
Q,Mouth of the Shannon area
R,Limerick area
S,Kilkenny area 
T,Wexford
V,West Munster
W,Cork area
X,Youghal area
Y,St George's Channel
HL,Atlantic Ocean
HM,Atlantic Ocean
HN,Atlantic Ocean
HO,Atlantic Ocean
HP,Unst(Shetland)
HQ,Atlantic Ocean
HR,Atlantic Ocean
HS,Atlantic Ocean
HT,Foula(Shetland)
HU,Shetland Islands
HV,Atlantic Ocean
HW,Atlantic Ocean Islands
HX,Atlantic Ocean(Sule stack)
HY,Orkney Islands
HZ,Fair Isle
JL,North Sea
JM,North Sea
JQ,North Sea
JR,North Sea
JV,North Sea
JW,North Sea
NA,Outer Hebrides
NB,Isle of Lewis and Harris
NC,Northern Scotland
ND,Thurso area
NE,North Sea
NF,Uist isles
NG,Isle of Skye
NH,Inverness area
NJ,Elgin area
NK,Peterhead area
NL,Hebrides isles
NM,Mull
NN,Grampian Mountains
NO,Dundee Area
NP,North Sea
NR,Campbelltown area
NS,Glasgow area
NT,Edinburgh area
NU,Northumberland Coast
NX,Galloway
NY,Carlise area
NZ,Tyne area
OA,North Sea
OB,North Sea
OF,North Sea
OG,North Sea
OL,North Sea
OM,North Sea
OQ,North Sea
OR,North Sea
OV,North Sea
OW,North Sea
SC,Isle of Man
SD,Lancashire
SE,Yorkshire
SH,Gwynedd
SJ,Cheshire
SK,Nottinghamshire
SM,Pembrokshire Coast
SN,Carmarthenshire
SO,Herefordshire
SP,Oxford
SR,St Govan's Head
SS,Exmoor
ST,Bristol Channel
SU,Winchester Area
SV,Isles of Scilly
SW,Penzance area
SX,Plymouth area
SY,Dorchester area
SZ,Isle of Wight area
TA,East Yorkshire
TB,North Sea
TF,Lincolnshire
TG,Norwich
TL,Cambridge area
TM,Ipswich area
TQ,London area
TR,Dover area
TV,East Bourne
TW,English Channel 
